species_key,scientific_name,canonical_scientific_name,common_name,order,family,genus,species_epithet,taxonomic_rank,marine,terrestrial,myanmar_distribution,global_distribution,conservation_status,myanmar_protection_status,identification_active,identification_level,taxonomy_notes,manual_review,source_dataset,source_url,source_year,current_mdd_scientific_name,mdd_match_status,taxonomy_enrichment_source
petaurista_petaurista,Petaurista petaurista,Petaurista petaurista,Red Giant Flying Squirrel,Rodentia,Sciuridae,Petaurista,petaurista,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Petaurista petaurista,exact,ASM Mammal Diversity Database v2.5 (2026)
petaurista_elegans,Petaurista elegans,Petaurista elegans,Spotted Giant Flying Squirrel,Rodentia,Sciuridae,Petaurista,elegans,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Petaurista elegans,exact,ASM Mammal Diversity Database v2.5 (2026)
hylopetes_alboniger,Hylopetes alboniger,Hylopetes alboniger,Particolored Flying Squirrel,Rodentia,Sciuridae,Hylopetes,alboniger,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Hylopetes alboniger,exact,ASM Mammal Diversity Database v2.5 (2026)
eupetaurus_nivamons,Eupetaurus nivamons,Eupetaurus nivamons,Yunnan Woolly Flying Squirrel,Rodentia,Sciuridae,Eupetaurus,nivamons,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Eupetaurus nivamons,exact,ASM Mammal Diversity Database v2.5 (2026)
petaurista_caniceps,Petaurista caniceps,Petaurista caniceps,Gray-headed Giant Flying Squirrel,Rodentia,Sciuridae,Petaurista,caniceps,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Petaurista caniceps,exact,ASM Mammal Diversity Database v2.5 (2026)
olisthomys_morrisi,Olisthomys morrisi,Olisthomys morrisi,Morris's Flying Squirrel,Rodentia,Sciuridae,Olisthomys,morrisi,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Olisthomys morrisi,exact,ASM Mammal Diversity Database v2.5 (2026)
callosciurus_erythraeus,Callosciurus erythraeus,Callosciurus erythraeus,Pallas's Squirrel,Rodentia,Sciuridae,Callosciurus,erythraeus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Callosciurus erythraeus,exact,ASM Mammal Diversity Database v2.5 (2026)
petaurista_sybilla,Petaurista sybilla,Petaurista sybilla,,Rodentia,Sciuridae,Petaurista,sybilla,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,,genus_family_only,ASM Mammal Diversity Database v2.5 (2026)
callosciurus_finlaysonii,Callosciurus finlaysonii,Callosciurus finlaysonii,Finlayson's Squirrel,Rodentia,Sciuridae,Callosciurus,finlaysonii,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Callosciurus finlaysonii,exact,ASM Mammal Diversity Database v2.5 (2026)
petaurista_philippensis,Petaurista philippensis,Petaurista philippensis,Indian Giant Flying Squirrel,Rodentia,Sciuridae,Petaurista,philippensis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Petaurista philippensis,exact,ASM Mammal Diversity Database v2.5 (2026)
petinomys_vordermanni,Petinomys vordermanni,Petinomys vordermanni,Vordermann's Flying Squirrel,Rodentia,Sciuridae,Petinomys,vordermanni,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Petinomys vordermanni,exact,ASM Mammal Diversity Database v2.5 (2026)
priapomys_leonardi,Priapomys leonardi,Priapomys leonardi,Himalayan Large-eared Flying Squirrel,Rodentia,Sciuridae,Priapomys,leonardi,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Priapomys leonardi,exact,ASM Mammal Diversity Database v2.5 (2026)
petaurista_yunanensis,Petaurista yunanensis,Petaurista yunanensis,,Rodentia,Sciuridae,Petaurista,yunanensis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,,genus_family_only,ASM Mammal Diversity Database v2.5 (2026)
callosciurus_caniceps,Callosciurus caniceps,Callosciurus caniceps,Northern Gray-bellied Squirrel,Rodentia,Sciuridae,Callosciurus,caniceps,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Callosciurus caniceps,exact,ASM Mammal Diversity Database v2.5 (2026)
